space,space.gong
exclam,exclam.gong
quotedbl,quotedbl.gong
numbersign,numbersign.gong
percent,percent.gong
quotesingle,quotesingle.gong
parenleft,parenleft.gong
parenright,parenright.gong
asterisk,asterisk.gong
plus,plus.gong
comma,comma.gong
hyphen,hyphen.gong
period,period.gong
slash,slash.gong
colon,colon.gong
semicolon,semicolon.gong
less,less.gong
equal,equal.gong
greater,greater.gong
question,question.gong
bracketleft,bracketleft.gong
backslash,backslash.gong
bracketright,bracketright.gong
asciicircum,asciicircum.gong
underscore,underscore.gong
braceleft,braceleft.gong
bar,bar.gong
braceright,braceright.gong
asciitilde,asciitilde.gong
endash,endash.gong
emdash,emdash.gong
quoteleft,quoteleft.gong
quoteright,quoteright.gong
divide,divide.gong
minus,minus.gong
multiply,multiply.gong
quotedblleft,quotedblleft.gong
quotedblright,quotedblright.gong
inr,inrupee
